Trial,Value,num_preprocess_layers,num_postprocess_layers,preprocess_size,postprocess_size,num_heads_0,num_heads_1,dropout_rate_0,dropout_rate_1,dropout_rate_2,dropout_rate_3,dropout_rate_4,dropout_rate_5,dropout_rate_6,dropout_rate_7,dropout_rate_8,dropout_rate_9,dropout_rate_10,dropout_rate_11,dropout_rate_12,use_batch_norm_0,use_batch_norm_1,use_batch_norm_2,use_batch_norm_3,use_batch_norm_4,use_batch_norm_5,use_batch_norm_6,use_batch_norm_7,use_batch_norm_8,use_batch_norm_9,use_batch_norm_10,use_batch_norm_11,use_batch_norm_12
42,0.03217390552163124,9,2,128,256,30,30,0.029232967349930198,0.03132960173683724,0.07058235340678384,0.022196500503923258,0.052763617112286255,0.07921518102689384,0.007897936638287478,0.05976350288270491,0.060230872052160433,0.0292097448849082,0.031707264294762436,0.011371706315759761,0.011465638284965416,True,True,True,True,True,True,True,True,True,True,True,True,True
43,0.03236190229654312,9,2,128,256,30,32,0.023099275054034862,0.04002673620413127,0.06545979834944086,0.009897819608258394,0.0442273722269183,0.09604777195330381,0.010749236974708278,0.05701159393864277,0.052885844125418933,0.017540009095176445,0.033422947798284884,0.016225033472655418,0.014871679152222782,True,True,True,True,True,True,True,True,True,True,True,True,True
44,0.032581642270088196,9,2,128,256,26,30,0.025681661064453278,0.0297119783736747,0.08026640271778272,0.015420165790800328,0.03477661490536419,0.0877951514755346,0.004419558811985094,0.053376937969672675,0.06041536709775334,0.025518171444672055,0.02212919297297285,0.0014263609797429094,0.00584743624478622,True,True,True,True,True,True,True,True,True,True,True,True,True
45,0.032037265598773956,9,2,128,256,30,28,0.03385135681255461,0.03707493811886048,0.06127880471259045,0.015892135398985586,0.05058443106861732,0.07754013354798421,0.013187064246977343,0.06873805131093487,0.06651587242968654,0.020555779577618907,0.03786876153748034,0.01811092234964303,0.03016758104577006,True,True,True,True,True,True,True,True,True,True,True,True,True
46,0.03169604018330574,9,2,256,64,32,28,0.03677424736588841,0.02488468825405352,0.07274778386745118,0.006599894331743791,0.05747558913290331,0.09929977635251566,0.008045739316097318,0.060565971417213385,0.05414195065954912,0.01400709799415127,0.02691554354981325,0.009277180771220379,0.010550150921677586,True,True,True,True,True,True,True,True,True,True,True,True,True
47,0.03180167078971863,9,2,256,64,32,30,0.037687137608939165,0.023929574480356132,0.07411556366610286,0.004765200694150271,0.060283541976834186,0.09902685690889461,0.0005436779053271529,0.06696325759794597,0.054914766437562594,0.013535333245708766,0.025872119029560426,0.004206053428201047,0.010294196565296027,True,True,True,True,True,True,True,True,True,True,True,True,True
48,0.03170238435268402,9,2,256,64,32,28,0.03796022904901118,0.02369606775558212,0.07457670609732536,0.004772294930498935,0.05924973205942852,0.09997739307339897,0.0004706869740955782,0.06178273135479641,0.05590376352549866,0.011240819056660207,0.02564218763189514,0.0002929250149077533,0.00516624513031596,True,True,True,True,True,True,True,True,True,True,True,True,True
49,0.032106246799230576,9,2,256,64,32,28,0.03794576476157815,0.024141532045968323,0.07502393240964603,0.004839688201780832,0.06040894502601169,0.09838223768008325,0.0005090105530446039,0.06292785419039987,0.07186672247472818,0.01217008268888435,0.02689413524498004,0.009515458757650197,0.0024963013349466644,True,True,True,True,True,True,True,True,True,True,True,True,True
50,0.03205227479338646,9,2,256,64,32,28,0.04263382343714725,0.01844966987881476,0.08266596723565343,0.0031131101680637336,0.06294998936289338,0.09985312746479612,0.004517741404317193,0.06710631958455111,0.06468401105225352,0.005286246398439255,0.014175601467703127,0.0006437525968807712,0.008260114154079196,True,True,True,True,True,True,True,True,True,True,True,True,True
51,0.03208428993821144,9,2,256,64,30,32,0.03655621803710633,0.02486328415350032,0.07377077220827112,0.007388763554653559,0.04869678538420684,0.09287361593741329,0.007500273058490365,0.05597776809501239,0.05616853856651336,0.01356262912939108,0.029048181115885807,0.0046218662338558016,0.009997149039700344,True,True,True,True,True,True,True,True,True,True,True,True,True
52,0.03193151578307152,9,2,256,64,32,30,0.04620777090797809,0.03677909727057947,0.08841001695996673,0.0034084801603995454,0.05641430690559188,0.09562907097666831,0.014808839006245198,0.061112488179098694,0.04878223517847309,0.0075568125270713575,0.023606229571745845,0.00416615986613836,0.0055712363784387615,True,True,True,True,True,True,True,True,True,True,True,True,True
53,0.03270414471626282,9,2,256,64,28,28,0.027255379677287174,0.027675522059189092,0.07039768387695261,0.008950001146964225,0.04480469773741063,0.0921738191968921,0.00016638098882776922,0.0513459644539928,0.055852715165836876,0.0019785280976106663,0.01968336330888576,0.007718067318047828,0.011325649353902694,True,True,True,True,True,True,True,True,True,True,True,True,True
54,0.032722730189561844,9,2,256,64,32,30,0.040191977448151346,0.03264215370601733,0.07717486253356286,1.675164236786958e-05,0.05073341106547702,0.08275900193344245,0.004928179201011554,0.06722756586141865,0.04669206800032387,0.021689804759129808,0.026206642096711984,0.01159946785890331,0.004224539792465097,True,True,True,True,True,True,True,True,True,True,True,True,True
